Accession,Length,Collection_Date
PX750764,1701,2025-03-28
PX750770,1701,2025-03-19
PX427517,1701,2025-03-03
PX427549,1701,2025-03-03
PX046621,1752,2025-01-17
PX046628,1752,2025-01-20
PX046635,1752,2025-01-18
PX046642,1752,2025-01-15
PX046649,1752,2025-01-13
PX046656,1752,2025-01-29
PX046663,1752,2025-01-24
PX046670,1752,2025-01-17
PX046873,1752,2024-12-09
PX046881,1754,2024-12-02
PX046889,1752,2024-12-23
PX046897,1752,2024-12-31
PX046905,1752,2024-12-11
PX046913,1752,2024-12-17
PX046921,1752,2024-12-13
PX046929,1754,2024-12-19
PX046937,1752,2024-12-08
PX046945,1752,2025-01-13
PX046953,1752,2025-01-15
PX046961,1752,2025-01-16
PX046969,1752,2025-01-16
PX046977,1752,2025-01-16
PX046985,1752,2025-01-16
PX046993,1752,2025-01-17
PX047001,1752,2025-01-17
PX047009,1752,2025-01-18
PX047017,1752,2025-01-19
PX047025,1752,2025-01-20
PX047033,1752,2025-01-21
PX047041,1752,2025-01-21
PX047049,1752,2025-01-23
PX047057,1752,2025-01-24
PX047065,1752,2025-01-24
PX047073,1752,2025-01-25
PX047081,1752,2025-01-25
PX047089,1752,2025-01-25
PX047097,1752,2025-01-25
PX047105,1752,2025-01-25
PX047113,1752,2025-01-26
PX047121,1752,2025-01-26
PX047129,1752,2025-01-26
PX047137,1752,2025-01-26
PX047145,1752,2025-01-26
PX047153,1752,2025-01-26
PX047161,1752,2025-01-26
PX047169,1752,2025-01-26
PX047177,1752,2025-01-27
PX047185,1752,2025-01-27
PX047193,1752,2025-01-28
PX047201,1752,2025-01-29
PX047209,1752,2025-01-29
PV772300,1752,2025-03-04
PV772308,1752,2025-03-06
PV772316,1752,2025-03-05
PV772324,1752,2025-03-07
PV772332,1752,2025-03-03
PV772340,1752,2025-03-09
PV772348,1752,2025-03-07
PV773159,1752,2025-03-30
PV746343,1701,2025-02-09
PV746351,1701,2025-03-10
PV746359,1701,2025-02-09
PV746375,1701,2025-03-14
PV746391,1701,2025-03-14
PV732245,1752,2025-02-01
PV732250,1752,2025-02-03
PV732298,1752,2025-02-01
PV732306,1752,2025-02-01
PV732314,1752,2025-02-01
PV732322,1752,2025-02-01
PV732330,1752,2025-02-01
PV732338,1752,2025-02-01
PV732346,1752,2025-02-01
PV732354,1752,2025-02-01
PV732362,1752,2025-02-01
PV732370,1752,2025-02-01
PV732378,1752,2025-02-01
PV732386,1752,2025-02-01
PV732394,1752,2025-02-02
PV732402,1752,2025-02-02
PV732410,1752,2025-02-02
PV732418,1752,2025-02-02
PV732426,1752,2025-02-02
PV732434,1752,2025-02-03
PV732442,1752,2025-02-03
PV732450,1752,2025-02-03
PV732458,1752,2025-02-03
PV732466,1752,2025-02-03
PV732474,1752,2025-02-03
PV732482,1752,2025-02-03
PV732490,1752,2025-02-03
PV732498,1752,2025-02-03
PV732506,1752,2025-02-04
PV732514,1752,2025-02-04
PV732522,1752,2025-02-04
PV732530,1752,2025-02-04
PV732538,1752,2025-02-10
PV732546,1752,2025-02-04
PV732554,1752,2025-03-18
PV732562,1752,2025-03-25
PV732570,1752,2025-03-24
PV732578,1752,2025-03-24
PV732586,1752,2025-03-21
PV732594,1752,2025-03-22
PV732602,1752,2025-03-22
PV732610,1753,2025-03-24
PV732618,1752,2025-03-25
PV732626,1752,2025-03-31
PV732634,1752,2025-03-25
PV732642,1752,2025-03-26
PV732650,1752,2025-03-28
PV732658,1752,2025-03-31
PV732666,1752,2025-03-25
PV732674,1752,2025-03-27
PV732682,1752,2025-03-25
PV732690,1752,2025-03-26
PV732698,1752,2025-03-27
PV732706,1752,2025-03-27
PV732714,1752,2025-03-30
PV732722,1752,2025-03-26
PV732730,1752,2025-03-27
PV734540,1752,2024-10-05
PV734548,1752,2024-10-16
PV734556,1752,2024-10-20
PV734564,1752,2024-10-24
PV734572,1752,2025-02-20
PV734580,1752,2025-02-24
PV734588,1752,2025-03-17
PV734596,1752,2025-03-18
PV717419,1701,2025-02-08
PV717426,1701,2025-03-13
PV717434,1701,2025-03-01
PV669383,1701,2025-01-30
PV669390,1701,2024-12-27
PV669428,1701,2025-01-30
PV669435,1701,2025-03-05
PV669497,1701,2025-02-27
PV669512,1701,2024-12-23
PV669519,1701,2025-03-09
PV669556,1701,2025-01-30
PV669569,1701,2025-01-30
PV669577,1701,2025-01-30
PV669585,1701,2025-01-29
PV669593,1701,2025-02-24
PV669601,1701,2025-02-16
PV669609,1701,2025-01-30
PV669617,1701,2025-01-30
PV669625,1701,2025-03-29
PV669641,1701,2025-01-30
PV669649,1701,2025-01-30
PV669657,1701,2025-03-27
PV669665,1701,2025-03-23
PV669673,1701,2024-12-20
PV669681,1701,2025-01-30
PV669689,1701,2025-01-30
PV669697,1701,2025-02-26
PV669705,1701,2025-01-30
PV669713,1701,2024-12-24
PV669721,1701,2025-03-22
PV643665,1701,2025-02-20
PV643672,1701,2024-12-26
PV643679,1701,2024-12-20
PV643685,1701,2025-02-21
PV643701,1701,2024-12-25
PV643709,1701,2024-12-25
PV643717,1701,2025-02-21
PV643725,1701,2025-02-20
PV643733,1701,2025-02-27
PV643741,1701,2024-12-25
PV639934,1701,2025-03-09
PV639973,1701,2025-01-18
PV639979,1701,2025-01-18
PV640015,1701,2025-01-08
PV640092,1701,2024-12-18
PV640129,1701,2025-01-14
PV640137,1701,2025-01-19
PV640145,1701,2025-01-15
PV640153,1701,2025-01-27
PV640161,1701,2025-01-28
PV640169,1701,2024-12-19
PV640177,1701,2025-01-18
PV640185,1701,2025-01-08
PV640193,1701,2025-01-19
PV640201,1701,2025-01-18
PV619140,1701,2025-03-15
PV622129,1701,2025-02-22
PV623933,1701,2025-02-26
PV589812,1701,2025-01-14
PV589827,1701,2025-01-20
PV589840,1701,2025-01-11
PV589854,1701,2025-01-10
PV589885,1701,2025-01-23
PV589893,1701,2025-01-18
PV589901,1701,2025-01-20
PV589909,1701,2025-01-15
PV589917,1701,2025-01-19
PV589925,1701,2025-01-24
PV589933,1701,2025-01-17
PV589941,1701,2025-01-23
PV589949,1701,2025-01-10
PV589957,1701,2025-01-10
PV566227,1701,2024-12-21
PV566420,1701,2025-01-10
PV566465,1701,2025-01-04
PV566480,1701,2025-01-06
PV566487,1701,2025-01-06
PV566494,1701,2025-01-19
PV566501,1701,2025-01-12
PV566507,1701,2025-01-02
PV566514,1701,2025-01-10
PV566528,1701,2025-01-08
PV566565,1701,2024-12-30
PV566573,1701,2025-01-09
PV566581,1701,2025-01-06
PV566589,1701,2025-01-02
PV566597,1701,2025-01-06
PV566605,1701,2025-01-04
PV566613,1701,2024-12-29
PV566621,1701,2024-12-22
PV566629,1701,2024-12-30
PV566637,1701,2025-01-02
PV566645,1701,2024-12-22
PV566653,1701,2025-01-08
PV566661,1701,2024-12-30
PV566669,1701,2025-01-08
PV566677,1701,2025-01-03
PV566685,1701,2025-01-18
PV566693,1701,2025-01-06
PV566701,1701,2024-12-25
PV566709,1701,2025-01-07
PV566717,1701,2025-01-07
PV566725,1701,2024-12-29
PV566733,1701,2025-01-10
PV566741,1701,2025-01-15
PV550549,1764,2025-03-19
PV550589,1760,2025-03-20
PV550596,1752,2025-03-20
PV538003,1701,2024-12-29
PV538175,1701,2025-01-09
PV538215,1701,2024-12-28
PV538222,1701,2024-12-23
PV538230,1701,2024-12-23
PV538238,1701,2024-12-24
PV538253,1701,2024-12-27
PV538285,1701,2024-12-16
PV538308,1701,2024-12-30
PV538332,1701,2024-12-21
PV538339,1701,2024-12-28
PV538359,1701,2025-01-03
PV538380,1701,2025-01-04
PV538403,1701,2024-12-29
PV538411,1701,2024-12-23
PV538419,1701,2024-12-28
PV538427,1701,2025-01-10
PV538435,1701,2024-12-28
PV538443,1701,2025-01-01
PV534126,1689,2024-12-19
PV531798,1701,2025-01-14
PV532910,1701,2025-01-27
PV499333,1752,2024-11-04
PV499341,1752,2024-11-05
PV499349,1752,2024-10-12
PV501430,1752,2025-01-27
PV501609,1752,2025-02-06
PV501800,1752,2025-01-15
PV501808,1752,2025-01-17
PV501816,1752,2025-01-17
PV501824,1752,2025-02-06
PV501832,1752,2025-02-11
PV501840,1752,2025-02-17
PV486956,1701,2025-02-03
PV486968,1701,2025-02-05
PV477472,1701,2024-12-22
PV477517,1701,2025-02-26
PV477522,1701,2024-11-18
PV477529,1701,2024-11-19
PV477537,1701,2024-12-17
PV477545,1701,2024-12-20
PV477553,1701,2024-12-22
PV477561,1701,2024-12-22
PV477569,1701,2024-12-22
PV477577,1701,2024-12-22
PV477585,1701,2024-12-20
PV477593,1701,2024-12-23
PV477601,1701,2024-12-22
PV442605,1701,2025-01-01
PV442616,1701,2024-12-29
PV442624,1701,2024-12-28
PV410754,1701,2024-12-09
PV410769,1701,2024-12-17
PV410776,1701,2024-11-29
PV410802,1701,2024-12-17
PV410814,1701,2024-12-16
PV410827,1701,2024-12-17
PV410835,1701,2024-12-17
PV410843,1701,2025-01-31
PV410851,1701,2024-12-02
PV410859,1701,2024-11-26
PV341675,1701,2024-12-21
PV341810,1701,2024-12-26
PV341845,1701,2024-12-26
PV341928,1701,2024-12-26
PV341939,1701,2024-12-28
PV341950,1701,2024-12-27
PV341981,1701,2024-12-27
PV341986,1701,2024-12-26
PV341994,1701,2024-12-28
PV342002,1701,2024-12-28
PV298636,1701,2025-02-12
PV283328,1752,2024-12-29
PV283631,1752,2025-01-06
PV283639,1752,2025-01-08
PV283647,1752,2025-01-10
PV283655,1752,2024-12-23
PV283663,1752,2024-12-23
PV283671,1752,2024-12-27
PV271147,1752,2025-01-21
PV271161,1764,2025-01-07
PV271175,1737,2025-01-02
PV271182,1763,2025-01-06
PV271196,1752,2025-01-09
PV271202,1725,2025-01-07
PV271208,1764,2025-01-06
PV271215,1761,2025-01-06
PV271222,1724,2025-01-15
PV271251,1756,2025-01-20
PV271259,1763,2025-01-07
PV271283,1733,2025-01-14
PV271549,1723,2025-02-04
PV271557,1754,2025-02-11
PV271630,1752,2025-02-02
PV271663,1751,2025-02-17
PV269081,1701,2024-12-20
PV269110,1701,2025-01-22
PV269130,1701,2025-01-24
PV269137,1701,2024-12-21
